trip,walk_distance,travel_time,boardings
72603006,383.11499999677324,652,1
72603004,591.1136390943357,1229,1
72603005,451.99333834149763,1182,1
73401001,1020.7877067626353,790,0
73401002,1020.7940977398727,790,0
73401003,1020.7877067626353,790,0
73401004,1113.1218345821476,859,0
73401005,669.3216691691355,522,0
73402001,579.0940676666862,671,1
73402002,1679.5700977414858,1294,0
73403004,669.3216691691355,522,0
73501001,718.0795714228093,564,0
73501002,718.0844586406968,564,0
73501003,1128.362022548033,1194,1
73501004,1552.4479999887064,1522,1
73501005,811.1196014992227,639,0
73801001,1363.700646609809,1388,1
73801002,1623.6444511187701,1484,1
74501001,218.9825864650494,1692,2
74501002,279.44275187644826,1052,2
74501003,379.2642932309114,296,0
74501004,379.2650451105863,296,0
74501005,379.2642932309114,296,0
74701001,834.6185563854096,947,1
74701002,892.9295112715965,975,1
74702001,1905.6875789415096,1474,0
74702002,487.1998796959607,908,1
75001001,313.9526992423219,1663,2
75001002,601.3781729284855,960,1
75001003,error,409,TOO_CLOSE
75001004,1650.018834578921,1288,0
75101001,1047.9252330764716,827,0
75101002,1047.922225557772,827,0
75101003,1047.9252330764716,827,0
75101004,1047.922225557772,827,0
75102001,1047.9252330764716,827,0
75102007,1047.922225557772,827,0
75102002,378.1281278162858,550,1
75102006,1047.922225557772,827,0
75102003,1047.9252330764716,827,0
75102008,1047.922225557772,827,0
75102004,578.4457744309348,572,1
75102005,1047.922225557772,827,0
75201001,1548.2734360829838,1362,1
75201002,448.1668345853745,345,0
75201003,1754.7568872082077,1568,1
75501001,1410.5223909691713,1803,1
75501002,706.6482180439118,711,1
75501003,679.2379699203601,534,0
75501004,1038.6155413463962,1056,1
75502001,341.4509097707606,414,1
75502002,1020.8083684162973,1923,2
75502003,2642.67145863263,2390,1
75502004,467.2715187935231,1587,2
75502005,2599.8181804375054,2222,1
75502010,903.3696390894956,715,0
75502006,1410.5223909691713,1803,1
75502007,706.6482180439118,711,1
75502008,679.2379699203601,534,0
75502009,1038.6155413463962,1056,1
75503001,341.4509097707606,414,1
75503002,903.3696390894956,715,0
75503003,1410.5223909691713,1803,1
75503004,706.6482180439118,711,1
75503005,679.2379699203601,534,0
75503006,1038.6155413463962,1056,1
75504001,341.4509097707606,414,1
75504002,903.3696390894956,715,0
75504003,1410.5223909691713,1803,1
75504004,706.6482180439118,711,1
75504005,679.2379699203601,534,0
75504006,1038.6155413463962,1056,1
76301001,1009.2633834553108,1021,1
76301002,884.4002932276846,1048,1
76301003,1676.9808270650615,1293,0
76301004,1676.9796992455483,1293,0
76301005,1676.9808270650615,1293,0
76302001,1009.2633834553108,1021,1
76302002,884.4002932276846,1048,1
76302003,958.7461879642719,751,0
76302004,958.7420526260594,751,0
76302005,1676.9808270650615,1293,0
76302006,1676.9796992455483,1293,0
76302007,958.7461879642719,751,0
76302008,958.7420526260594,751,0
76302009,1676.9808270650615,1293,0
76501001,792.9632857122114,1484,2
76501002,738.3514586455368,1467,1
76501003,error,404,PATH_NOT_FOUND
76501004,error,404,PATH_NOT_FOUND
77001001,1038.1514812000235,1110,1
77001002,653.6771954845852,705,1
77001003,767.1783383447246,586,0
77201001,1899.9859172878475,1472,0
77201002,1814.068609021149,1384,0
77201003,974.1930150341734,752,0
77201004,956.0522857105982,746,0
77602003,1673.9551879610453,1441,1
77602004,976.3595488699362,951,1
77603005,949.2929624032733,1045,1
77603006,929.6421729268721,1564,2
77801002,352.84161653984916,1475,2
77801003,967.2205864618227,1062,1
78301001,1109.8176390927222,1104,1
78301002,1094.492255634185,847,0
78301003,1441.723428565897,1536,1
79101001,1333.6422255561583,1228,1
79101002,1863.052270669972,1576,1
79101003,1822.5319548781204,1419,0
79101006,1020.5246766829949,1111,1
79101007,1284.8114285642837,1186,1
79101004,949.2898721756474,1048,1
79101005,1331.9959248049333,1229,1
79701001,265.44196992358684,1889,2
79701009,240.54996992358684,1388,2
79701002,880.0977368358216,897,1
79701003,216.44709022117266,736,1
79701004,531.8145789415092,824,1
79701005,1807.2053909707834,1410,0
79701006,805.993917291074,620,0
79701007,736.0316090179226,610,1
79701008,313.8329774422868,1741,2
79702001,880.0977368358216,897,1
79702002,216.44709022117266,736,1
79702003,531.8145789415092,824,1
79702004,1807.2053909707834,1410,0
79702005,805.993917291074,620,0
79702006,736.0316090179226,610,1
79702007,313.8329774422868,1741,2
79901001,1235.8038796911205,1515,1
80301001,1480.620691720395,1266,1
80301002,227.45220300328523,1417,2
80301003,1093.9772481154848,1159,1
80301004,error,404,PATH_NOT_FOUND
80302001,748.7169172878472,593,0
80302002,1093.9772481154848,1159,1
80302003,462.91833834149764,1334,2
80302004,1093.9772481154848,1159,1
80302005,839.9097293155081,1162,1
80302006,998.2560826976325,1043,1
80402001,1348.904834580534,1203,1
80402002,1117.3043157853976,1064,1
80701001,1842.856909769147,1426,0
80701002,1842.8336014992228,1423,0
81201001,1995.4948571301811,1854,1
81201002,1082.2312631496582,1440,2
81301001,1991.5986992390951,1548,0
81301002,1991.6013308179581,1548,0
81302001,1991.5986992390951,1548,0
81302002,1991.6013308179581,1548,0
81401003,593.5746315756359,461,0
81401004,593.5509473658735,459,0
81501002,574.4001503723855,1415,2
81601003,1916.0676691659085,1489,0
81601004,107.035,82,0
81601005,2218.5261127740464,1753,1
81601006,1999.1219248017064,1560,0
81601009,243.69106014798626,1754,2
81601010,202.86008270408604,1179,2
81602001,1999.1219248017064,1560,0
81602002,307.41745112361025,1477,2
81602003,573.8578270634476,1678,2
81602004,879.3303157837843,1583,2
81603001,1916.0676691659085,1489,0
81603002,107.035,82,0
81603003,2218.5261127740464,1753,1
81603004,1999.1219248017064,1560,0
81603005,307.41745112361025,1477,2
81604001,1916.0676691659085,1489,0
81604002,107.035,82,0
81604003,2218.5261127740464,1753,1
81604004,1999.1219248017064,1560,0
81604005,307.41745112361025,1477,2
81604006,243.69106014798626,1754,2
81604007,879.3303157837843,1583,2
82401001,513.3787142813352,1372,2
82401002,1064.508646609809,1141,1
82401003,331.77349623903666,1226,2
82402001,882.5299248065471,1505,1
82402004,910.8329172878472,1649,1
82402005,1064.508646609809,1141,1
82402006,331.77349623903666,1226,2
82601001,1212.263751874835,1794,1
82601002,690.8053533805108,1655,1
82602001,error,409,TOO_CLOSE
83102001,788.9958120244345,1943,2
83102002,2336.3818721708076,2092,1
83102003,1930.944819536681,2141,1
84001001,1192.6800150325598,925,0
84001002,1192.6724962358098,924,0
84001003,1192.6800150325598,925,0
84001005,1329.433533827696,1348,1
84001006,136.64157894634945,1004,2
84001007,1192.6800150325598,925,0
84001008,1405.4393533772843,1095,0
84001009,1152.7149473642603,1092,1
84002001,1192.6800150325598,925,0
84002002,1192.6724962358098,924,0
84002003,1192.6800150325598,925,0
84002004,1192.6724962358098,924,0
84002005,1329.433533827696,1348,1
84002006,136.64157894634945,1004,2
84003001,1329.433533827696,1348,1
84003002,136.64157894634945,1004,2
84003003,1978.2865413480095,1532,0
84003004,1978.2820300699598,1531,0
84101001,1207.6007669090081,1430,1
84101002,1378.284421045584,1497,1
84801001,1103.187654130122,1212,1
84801002,435.888135331759,840,1
84801003,1581.9135338293097,2156,1
84801004,841.8194661610103,1817,2
84801005,1516.0498721724214,1195,0
84801006,1248.554218035845,1234,1
84801007,1349.8081353333725,1900,1
84801008,551.7545789415093,998,1
84801009,1248.554218035845,1234,1
84801010,1426.0994060097973,1743,1
84801011,1301.1279022504473,1910,1
84802001,1426.0994060097973,1743,1
84802002,1301.1279022504473,1910,1
85101001,405.9783007496113,1521,2
85101002,422.12474435774834,1462,2
85102001,1344.6238872082072,1331,1
85102002,261.6761202991992,404,1
85102003,714.3675563886362,967,1
85103001,1344.6238872082072,1331,1
85103002,261.6761202991992,404,1
85103003,714.3675563886362,967,1
85401001,1424.7249398407205,1420,1
85401002,1257.768218035845,1241,1
85402001,1233.9006240537092,1731,1
85402002,1098.4825714228095,1680,1
85402003,1424.7249398407205,1420,1
85402004,1257.768218035845,1241,1
85402005,1830.5308270618345,1413,0
85402006,1830.501879694347,1411,0
85601001,452.4033233057112,1676,2
85601002,1577.4496015024492,1201,0
85601003,1230.7784436049103,1852,1
85701001,267.7981278178991,209,0
85701002,1371.8919624016603,1252,1
85701005,1117.1816014992226,1408,1
85701006,267.7981278178991,209,0
85702001,error,409,TOO_CLOSE
85703001,267.7981278178991,209,0
85703002,267.7981278178991,209,0
85704001,267.7981278178991,209,0
85704002,267.7981278178991,209,0
85901001,565.0476766894488,439,0
85901002,565.0476766894488,439,0
85902001,239.066751879675,1984,2
85902002,2049.8893759333837,1960,1
86202001,1124.0576240537093,2148,2
86202002,1368.5072105187587,1547,1
86202003,1584.1617518732214,1545,1
86301001,1844.0368420911677,1725,1
86301002,375.93628570898466,750,1
86301003,716.2489172894605,1986,2
87001001,1052.596669170749,808,0
87001002,503.99052631222304,849,2
87001003,488.0087368390484,733,1
87001004,587.2771353333724,1850,2
87001005,307.4555037561233,246,0
87001006,687.9856842081488,969,1
87001007,1440.4296842081487,2006,2
87001008,359.5782781935114,1482,2
87302001,243.40221052521193,192,0
87302002,243.4037142845619,193,0
87302003,566.3099248097739,1281,1
87302004,566.7063984927106,1113,1
87702005,181.6932781951248,643,1
87702001,409.897834583761,747,1
87702002,852.1119398471737,1310,1
87702003,1404.4167894683349,1091,0
87702004,1403.6371052585725,1088,0
87703001,181.6932781951248,643,1
87703003,1404.4167894683349,1091,0
87703004,1403.6371052585725,1088,0
89602001,284.6959248081605,1538,2
89602002,error,404,PATH_NOT_FOUND
90201001,391.5296766894487,311,0
90201002,726.2250676666861,713,1
90201003,1636.4491353301455,1423,1
90201004,1171.2367969870347,912,0
90201005,801.0700451073596,788,1
90202001,391.5296766894487,311,0
90401001,357.1375488699363,280,0
90401002,572.3271729284854,453,0
90401003,550.6620902243994,432,0
90402001,1433.339203000059,1121,0
90402002,1433.0941353301457,1124,0
90501001,1039.4155263073828,1129,1
90501002,456.6292330764715,2002,2
90501003,1854.6758345805351,1507,1
90501004,1787.1608796943476,1468,1
90501005,1562.9289999935465,1215,0
90801001,1065.6351428536857,1266,1
90801002,717.5512556374116,933,1
90801003,804.9506766846085,1273,1
90801004,787.2728420992343,1462,2
91801001,957.7785263073828,1067,1
91801002,1173.6064511187699,1226,1
91801003,1072.3947067658619,822,0
91802001,502.7627819496347,403,0
